category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0043227	3.75566074516807e-44	1	4952	5226	membrane-bounded organelle	CC	4.58716403414829e-40	1
GO:0043231	5.68495097752003e-41	1	4758	5025	intracellular membrane-bounded organelle	CC	3.47179956197148e-37	1
GO:0003824	5.85191682826682e-39	1	3535	3688	catalytic activity	MF	2.3825104046817e-35	1
GO:0016020	1.81242434087886e-37	1	2854	2959	membrane	CC	5.5342377248736e-34	1
GO:0065007	1.54079989457146e-34	1	4333	4562	biological regulation	BP	3.76386598245917e-31	1
GO:0050794	1.24050903064452e-32	1	3580	3751	regulation of cellular process	BP	2.52526288338203e-29	1
GO:0051179	3.39455095226073e-28	1	2143	2218	localization	BP	5.17960847498565e-25	1
GO:0043167	3.48933059545637e-28	1	1921	1980	ion binding	MF	5.17960847498565e-25	1
GO:0050789	3.81664289134361e-28	1	3911	4125	regulation of biological process	BP	5.17960847498565e-25	1
GO:0032501	3.52240044981411e-27	1	3388	3566	multicellular organismal process	BP	4.30225990940296e-24	1
GO:0051234	6.59570415784971e-26	1	1874	1937	establishment of localization	BP	7.32363005308876e-23	1
GO:0032502	1.00049237211271e-25	1	2762	2891	developmental process	BP	9.46391334547303e-23	1
GO:0048731	1.00729387171401e-25	1	1450	1484	system development	BP	9.46391334547303e-23	1
GO:0048856	7.79091667605479e-25	1	2577	2693	anatomical structure development	BP	6.4860504656761e-22	1
GO:0006355	9.02757965584523e-25	1	1094	1113	regulation of DNA-templated transcription	BP	6.4860504656761e-22	1
GO:1903506	9.02757965584523e-25	1	1094	1113	regulation of nucleic acid-templated transcription	BP	6.4860504656761e-22	1
GO:2001141	9.02757965584523e-25	1	1094	1113	regulation of RNA biosynthetic process	BP	6.4860504656761e-22	1
GO:0050896	2.08572029639413e-24	1	2857	3001	response to stimulus	BP	1.37362217883898e-21	1
GO:0051252	2.13679559504999e-24	1	1251	1279	regulation of RNA metabolic process	BP	1.37362217883898e-21	1
GO:0006810	3.42748554739512e-24	1	1817	1880	transport	BP	2.0931654237942e-21	1
GO:0007275	4.43740251658611e-24	1	2197	2286	multicellular organism development	BP	2.58087782559918e-21	1
GO:0006725	4.66477123476218e-24	1	2559	2683	cellular aromatic compound metabolic process	BP	2.58979617551751e-21	1
GO:0048518	1.14520340983943e-23	1	1713	1770	positive regulation of biological process	BP	6.08152802077339e-21	1
GO:1901360	3.33957494999076e-23	1	2619	2750	organic cyclic compound metabolic process	BP	1.6995653516328e-20	1
GO:0009653	4.68499394140347e-23	1	1497	1539	anatomical structure morphogenesis	BP	2.28890064001208e-20	1
GO:0048869	6.50142087425681e-23	1	1646	1698	cellular developmental process	BP	3.05416748300664e-20	1
