category	de_genes
03010	FBGN0005593,FBGN0026372,FBGN0015288,FBGN0003279,FBGN0036825,FBGN0032518,FBGN0039857,FBGN0037899,FBGN0029897,FBGN0000100,FBGN0037328,FBGN0039713,FBGN0035753,FBGN0030616,FBGN0011272,FBGN0015521,FBGN0039129,FBGN0037351,FBGN0002626,FBGN0039757,FBGN0010412,FBGN0005533,FBGN0086710,FBGN0033699,FBGN0002593,FBGN0004403,FBGN0014026,FBGN0034968,FBGN0035422,FBGN0010265,FBGN0002579,FBGN0011284,FBGN0002590,FBGN0017579,FBGN0037686,FBGN0020910,FBGN0024733,FBGN0004404,FBGN0003941,FBGN0030136,FBGN0066084,FBGN0002622,FBGN0039359,FBGN0034138,FBGN0039300,FBGN0010409,FBGN0016726,FBGN0033912,FBGN0004867,FBGN0032987,FBGN0003942,FBGN0013325,FBGN0086472,FBGN0003517,FBGN0010408,FBGN0028697,FBGN0010411,FBGN0010078,FBGN0033555,FBGN0015756,FBGN0039406,FBGN0023170,FBGN0040007,FBGN0003274,FBGN0032720,FBGN0031980,FBGN0010198,FBGN0064225,FBGN0034743,FBGN0038834,FBGN0029785,FBGN0036213,FBGN0019936,FBGN0017545,FBGN0027494,FBGN0039739,FBGN0038281,FBGN0034822,FBGN0032404
00982	FBGN0040091,FBGN0063498,FBGN0031117,FBGN0033079,FBGN0063493,FBGN0038020,FBGN0063494,FBGN0063491,FBGN0250732,FBGN0010548,FBGN0040251,FBGN0026315,FBGN0040260,FBGN0033381,FBGN0010041,FBGN0025814,FBGN0010039,FBGN0010043,FBGN0001149,FBGN0037696,FBGN0010226,FBGN0031887,FBGN0038037,FBGN0011768,FBGN0010040,FBGN0034605,FBGN0063495,FBGN0040256,FBGN0063497,FBGN0040252,FBGN0010038,FBGN0042206,FBGN0036842,FBGN0030484,FBGN0040250,FBGN0040262,FBGN0038029,FBGN0051002,FBGN0038886,FBGN0026314,FBGN0040253,FBGN0038083,FBGN0040255,FBGN0010042,FBGN0037697,FBGN0086348,FBGN0033817,FBGN0027073,FBGN0063496,FBGN0034335,FBGN0034943,FBGN0026754,FBGN0063499,FBGN0026756,FBGN0026755,FBGN0040261,FBGN0032684,FBGN0032713,FBGN0000055
04144	FBGN0020493,FBGN0015795,FBGN0026179,FBGN0003557,FBGN0016693,FBGN0029006,FBGN0015790,FBGN0026369,FBGN0038659,FBGN0011829,FBGN0259174,FBGN0261064,FBGN0035589,FBGN0026192,FBGN0013718,FBGN0034744,FBGN0014010,FBGN0003392,FBGN0086656,FBGN0032006,FBGN0037231,FBGN0035251,FBGN0027363,FBGN0037182,FBGN0013750,FBGN0028509,FBGN0025800,FBGN0086346,FBGN0036805,FBGN0000163,FBGN0033349,FBGN0034789,FBGN0020655,FBGN0036666,FBGN0021814,FBGN0260940,FBGN0260798,FBGN0014020,FBGN0031450,FBGN0026479,FBGN0037299,FBGN0003731,FBGN0038862,FBGN0261049,FBGN0001230,FBGN0028582,FBGN0086785,FBGN0030894,FBGN0020224,FBGN0016984,FBGN0016038,FBGN0039402,FBGN0043012,FBGN0036740,FBGN0051158,FBGN0050372,FBGN0010389,FBGN0039924,FBGN0039773,FBGN0039056,FBGN0010341,FBGN0040206,FBGN0034433,FBGN0027335,FBGN0022027,FBGN0000319,FBGN0013277,FBGN0013276,FBGN0013278,FBGN0001217,FBGN0013279,FBGN0051354,FBGN0013275,FBGN0001216,FBGN0028847
00980	FBGN0040091,FBGN0063498,FBGN0031117,FBGN0063493,FBGN0038020,FBGN0063494,FBGN0063491,FBGN0250732,FBGN0010548,FBGN0031418,FBGN0040251,FBGN0026315,FBGN0040260,FBGN0033381,FBGN0010041,FBGN0025814,FBGN0010039,FBGN0010043,FBGN0001149,FBGN0037696,FBGN0010226,FBGN0031887,FBGN0038037,FBGN0011768,FBGN0010040,FBGN0034605,FBGN0063495,FBGN0040256,FBGN0063497,FBGN0040252,FBGN0010038,FBGN0042206,FBGN0036842,FBGN0030484,FBGN0040250,FBGN0040262,FBGN0038029,FBGN0051002,FBGN0038886,FBGN0026314,FBGN0040253,FBGN0038083,FBGN0040255,FBGN0010042,FBGN0037697,FBGN0086348,FBGN0033817,FBGN0027073,FBGN0063496,FBGN0034335,FBGN0026754,FBGN0063499,FBGN0026756,FBGN0026755,FBGN0040261,FBGN0032684,FBGN0032713,FBGN0000055
00500	FBGN0040091,FBGN0003748,FBGN0003076,FBGN0004507,FBGN0003074,FBGN0000079,FBGN0053138,FBGN0034417,FBGN0000078,FBGN0040251,FBGN0026315,FBGN0040260,FBGN0035978,FBGN0032382,FBGN0034618,FBGN0031887,FBGN0038619,FBGN0034605,FBGN0040256,FBGN0001186,FBGN0040252,FBGN0036842,FBGN0040250,FBGN0040262,FBGN0051002,FBGN0038886,FBGN0026314,FBGN0040253,FBGN0038083,FBGN0042710,FBGN0040255,FBGN0042711,FBGN0027073,FBGN0034121,FBGN0033294,FBGN0002570,FBGN0026754,FBGN0033296,FBGN0002571,FBGN0020506,FBGN0001187,FBGN0033297,FBGN0002569,FBGN0026756,FBGN0031463,FBGN0026755,FBGN0040261,FBGN0032684,FBGN0031908,FBGN0032713,FBGN0027560,FBGN0032381,FBGN0031907
00561	FBGN0035266,FBGN0027552,FBGN0036857,FBGN0030884,FBGN0004797,FBGN0027579,FBGN0012036,FBGN0085390,FBGN0041087,FBGN0037341,FBGN0030421,FBGN0034117,FBGN0033101,FBGN0031428,FBGN0260750,FBGN0037537,FBGN0051075,FBGN0034971,FBGN0051140,FBGN0020930,FBGN0035107,FBGN0036622,FBGN0036623,FBGN0035476,FBGN0033673,FBGN0016078,FBGN0086254,FBGN0085413,FBGN0025592,FBGN0038070,FBGN0039344,FBGN0039473,FBGN0036977,FBGN0037165,FBGN0037166,FBGN0037163,FBGN0037167,FBGN0037164,FBGN0036183,FBGN0033999,FBGN0030162,FBGN0029831,FBGN0032271
03040	FBGN0034564,FBGN0051184,FBGN0030631,FBGN0003261,FBGN0036915,FBGN0033089,FBGN0001215,FBGN0035720,FBGN0016978,FBGN0017457,FBGN0033160,FBGN0028577,FBGN0014189,FBGN0036277,FBGN0039626,FBGN0039558,FBGN0000426,FBGN0051368,FBGN0261068,FBGN0040235,FBGN0035271,FBGN0035141,FBGN0023167,FBGN0036487,FBGN0031266,FBGN0010774,FBGN0037550,FBGN0028474,FBGN0030468,FBGN0015818,FBGN0033859,FBGN0037382,FBGN0261119,FBGN0037220,FBGN0035692,FBGN0039977,FBGN0035520,FBGN0004237,FBGN0031390,FBGN0033210,FBGN0037569,FBGN0040534,FBGN0033556,FBGN0022942,FBGN0031822,FBGN0022943,FBGN0036104,FBGN0086895,FBGN0000377,FBGN0032690,FBGN0001230,FBGN0036828,FBGN0033688,FBGN0035162,FBGN0005411,FBGN0001491,FBGN0033378,FBGN0037644,FBGN0032388,FBGN0031229,FBGN0004856,FBGN0031492,FBGN0086683,FBGN0002736,FBGN0039732,FBGN0050342,FBGN0031601,FBGN0026713,FBGN0035675,FBGN0027784,FBGN0021895,FBGN0014366,FBGN0034572,FBGN0039566,FBGN0036733,FBGN0028382,FBGN0030365,FBGN0028554,FBGN0036314,FBGN0037573,FBGN0003742,FBGN0030969,FBGN0031493,FBGN0024998,FBGN0086444,FBGN0004587,FBGN0013277,FBGN0013276,FBGN0013278,FBGN0038887,FBGN0001217,FBGN0013279,FBGN0051354,FBGN0013275,FBGN0001216,FBGN0032439
00860	FBGN0040091,FBGN0010786,FBGN0020764,FBGN0034417,FBGN0032222,FBGN0040251,FBGN0034938,FBGN0026315,FBGN0040260,FBGN0033428,FBGN0020018,FBGN0021944,FBGN0030066,FBGN0031887,FBGN0005674,FBGN0036271,FBGN0034605,FBGN0040256,FBGN0036629,FBGN0037933,FBGN0040252,FBGN0038925,FBGN0036842,FBGN0040250,FBGN0040262,FBGN0015222,FBGN0051002,FBGN0038886,FBGN0026314,FBGN0040253,FBGN0038083,FBGN0040255,FBGN0027073,FBGN0026754,FBGN0030449,FBGN0026756,FBGN0026755,FBGN0040261,FBGN0032684,FBGN0032713
00510	FBGN0038552,FBGN0051849,FBGN0027588,FBGN0039738,FBGN0034277,FBGN0039293,FBGN0031149,FBGN0032477,FBGN0037743,FBGN0036446,FBGN0037108,FBGN0027564,FBGN0053977,FBGN0030327,FBGN0035401,FBGN0053303,FBGN0039634,FBGN0030289,FBGN0011740,FBGN0030645,FBGN0032015,FBGN0259170,FBGN0029906,FBGN0011336,FBGN0014868,FBGN0034521,FBGN0034141,FBGN0032799,FBGN0011297,FBGN0261020,FBGN0039639,FBGN0032234,FBGN0052076,FBGN0051202,FBGN0036447,FBGN0035050
03022	FBGN0261109,FBGN0013347,FBGN0010282,FBGN0011289,FBGN0010280,FBGN0028398,FBGN0015828,FBGN0033754,FBGN0014342,FBGN0024909,FBGN0037202,FBGN0010355,FBGN0015829,FBGN0004915,FBGN0010287,FBGN0011290,FBGN0033929,FBGN0011836,FBGN0032847,FBGN0010421,FBGN0010356,FBGN0010417,FBGN0011291,FBGN0003687,FBGN0026324,FBGN0031309,FBGN0000617,FBGN0011569,FBGN0040338
