##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461177_subsampled_forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1057657
Sequences flagged as poor quality	0
Sequence length	37
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.195	40	40	40	40	40
2	39.8078	40	40	40	40	40
3	39.8008	40	40	40	40	40
4	39.4786	40	40	40	40	40
5	39.6257	40	40	40	40	40
6	39.7187	40	40	40	40	40
7	39.7433	40	40	40	40	40
8	39.7249	40	40	40	40	40
9	39.7318	40	40	40	40	40
10	39.7096	40	40	40	40	40
11	39.6965	40	40	40	40	40
12	39.7729	40	40	40	40	40
13	39.274	40	40	40	40	40
14	39.2711	40	40	40	40	40
15	39.2404	40	40	40	40	40
16	39.0861	40	40	40	40	40
17	39.0275	40	40	40	40	40
18	38.9097	40	40	40	40	40
19	38.7972	40	40	40	40	40
20	38.7009	40	40	40	40	40
21	38.625	40	40	40	40	40
22	38.4469	40	40	40	40	40
23	38.0812	40	40	40	37	40
24	38.0211	40	40	40	36	40
25	37.744	40	40	40	33	40
26	37.5334	40	40	40	31	40
27	37.2189	40	40	40	28	40
28	37.1039	40	40	40	28	40
29	36.696	40	40	40	25	40
30	36.4083	40	40	40	24	40
31	35.9883	40	40	40	22	40
32	35.1035	40	36	40	18	40
33	34.3216	40	33	40	16	40
34	33.9417	40	31	40	15	40
35	33.4122	40	29	40	14	40
36	32.9379	40	28	40	13	40
37	32.069	40	25	40	11	40
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1	1	0.19564
1	2	0.00504856
1	3	-0.00235836
1	4	0.356604
1	5	0.0739727
1	6	-0.13879
1	7	0.0445344
1	8	-0.0270557
1	9	0.0463572
1	10	0.167018
1	11	0.0209738
1	12	0.14243
1	13	-0.336039
1	14	-0.0779752
1	15	-0.489456
1	16	-0.148318
1	17	0.264
1	18	0.182198
1	19	0.205552
1	20	-0.590606
1	21	-1.04158
1	22	-0.148984
1	23	-0.245544
1	24	0.320656
1	25	-0.299158
1	26	-0.519043
1	27	0.303642
1	28	0.837759
1	29	0.383146
1	30	1.01113
1	31	0.241291
1	32	0.458387
1	33	0.428438
1	34	0.9845
1	35	1.86453
1	36	0.861046
1	37	0.843063
2	1	-0.183229
2	2	-0.127057
2	3	-0.247465
2	4	0.0963692
2	5	0.0524759
2	6	-0.140595
2	7	-0.00962755
2	8	-0.0407982
2	9	-0.0237463
2	10	-0.0454343
2	11	0.170941
2	12	0.0517355
2	13	-0.438264
2	14	-0.0824237
2	15	-0.135197
2	16	-0.415764
2	17	0.0992323
2	18	0.0630217
2	19	-0.854088
2	20	-0.14847
2	21	-0.45204
2	22	-0.362088
2	23	-0.270691
2	24	0.358285
2	25	-0.668985
2	26	-0.0109486
2	27	-0.536412
2	28	0.830036
2	29	0.189328
2	30	0.460962
2	31	0.325588
2	32	1.2157
2	33	0.685923
2	34	0.711905
2	35	0.579857
2	36	0.912796
2	37	-0.119306
3	1	-0.246323
3	2	0.00506244
3	3	-0.0184671
3	4	0.0979648
3	5	0.204228
3	6	-0.107643
3	7	0.0221449
3	8	-0.130046
3	9	-0.0884358
3	10	0.112908
3	11	-0.147374
3	12	0.037098
3	13	0.165308
3	14	0.0560085
3	15	-0.626387
3	16	0.00216916
3	17	0.172455
3	18	-0.0599405
3	19	-0.0351497
3	20	0.23828
3	21	0.24241
3	22	-0.0761016
3	23	0.251959
3	24	0.0482952
3	25	-1.28324
3	26	-0.81244
3	27	-0.0311053
3	28	0.411895
3	29	0.216036
3	30	-0.500016
3	31	0.482612
3	32	0.346011
3	33	0.518389
3	34	0.937954
3	35	-0.558263
3	36	0.755842
3	37	0.0619631
4	1	-0.121232
4	2	0.00975955
4	3	-0.103311
4	4	0.036046
4	5	-0.0351918
4	6	0.066702
4	7	-0.0507409
4	8	-0.141093
4	9	-0.0251778
4	10	0.117449
4	11	-0.0798889
4	12	-0.174338
4	13	-0.404903
4	14	-0.14068
4	15	0.0839261
4	16	-0.0586428
4	17	-0.565975
4	18	-0.262634
4	19	-0.62991
4	20	0.0829697
4	21	-0.228003
4	22	-0.665587
4	23	0.199116
4	24	-0.379634
4	25	0.318895
4	26	0.290507
4	27	0.723192
4	28	0.104451
4	29	0.445284
4	30	0.48751
4	31	0.50459
4	32	-0.705723
4	33	-0.556417
4	34	0.772217
4	35	0.501036
4	36	0.317808
4	37	-0.101852
5	1	-0.371365
5	2	-0.146138
5	3	-0.0560532
5	4	0.257213
5	5	-0.15159
5	6	0.034318
5	7	0.0263884
5	8	-0.0436994
5	9	-0.0697625
5	10	-0.050098
5	11	-0.0437402
5	12	0.0679147
5	13	0.129109
5	14	-0.349018
5	15	0.0647833
5	16	-0.169501
5	17	0.00990482
5	18	0.423643
5	19	0.0107852
5	20	0.000776855
5	21	-0.27743
5	22	0.132114
5	23	-0.504416
5	24	-0.145647
5	25	0.540348
5	26	0.150153
5	27	-0.237446
5	28	0.273688
5	29	1.00451
5	30	0.519463
5	31	0.20111
5	32	0.197225
5	33	0.0158681
5	34	0.499364
5	35	1.3107
5	36	1.15
5	37	-0.28123
6	1	-0.213656
6	2	-0.13435
6	3	-0.0350641
6	4	-0.128322
6	5	-0.110665
6	6	-0.08914
6	7	0.0859767
6	8	0.0741955
6	9	-0.0359131
6	10	-0.0213649
6	11	-0.134181
6	12	-0.00429475
6	13	0.0224201
6	14	-0.186509
6	15	-0.14127
6	16	0.0141671
6	17	0.0239803
6	18	0.0361255
6	19	0.172743
6	20	-0.16128
6	21	-0.658299
6	22	0.379902
6	23	0.165652
6	24	0.380567
6	25	0.680514
6	26	0.507946
6	27	-1.49837
6	28	-0.0516542
6	29	1.00006
6	30	-0.0743899
6	31	0.722725
6	32	-0.553185
6	33	1.54691
6	34	0.831206
6	35	1.94216
6	36	1.31371
6	37	0.771579
7	1	-0.0404092
7	2	-0.0563623
7	3	0.0791807
7	4	0.129148
7	5	-0.0030977
7	6	0.0835535
7	7	-0.0636078
7	8	0.138637
7	9	-0.0034224
7	10	0.120636
7	11	0.185086
7	12	0.0644502
7	13	0.0241122
7	14	0.289812
7	15	0.0631967
7	16	-0.126124
7	17	0.154578
7	18	-0.0273464
7	19	0.271302
7	20	0.367984
7	21	0.242679
7	22	0.534113
7	23	0.451018
7	24	-1.57388
7	25	-0.165701
7	26	0.652748
7	27	0.660225
7	28	0.449866
7	29	0.579612
7	30	0.0201451
7	31	-0.42142
7	32	-0.412524
7	33	1.36416
7	34	0.0483709
7	35	1.58233
7	36	0.985345
7	37	1.67144
8	1	0.522937
8	2	0.0669177
8	3	0.0705372
8	4	0.341225
8	5	0.178804
8	6	0.0265532
8	7	0.123645
8	8	0.195153
8	9	0.0344911
8	10	0.215392
8	11	0.209676
8	12	0.00869147
8	13	0.181547
8	14	-0.27518
8	15	-0.22409
8	16	-0.0695944
8	17	0.249564
8	18	-0.0495827
8	19	0.12286
8	20	0.444191
8	21	0.192006
8	22	0.412235
8	23	-0.242367
8	24	-0.101125
8	25	-0.133839
8	26	0.0943942
8	27	0.567911
8	28	0.526925
8	29	1.30285
8	30	0.709388
8	31	-0.934945
8	32	0.807532
8	33	1.4471
8	34	1.19575
8	35	1.08124
8	36	0.575628
8	37	2.06207
9	1	0.408444
9	2	0.0494025
9	3	0.0208788
9	4	-0.0782127
9	5	0.115696
9	6	0.0794316
9	7	-0.0555204
9	8	0.120157
9	9	-0.135593
9	10	0.137564
9	11	0.15262
9	12	-0.0120046
9	13	0.308083
9	14	0.0735624
9	15	-0.169216
9	16	0.229132
9	17	-0.566948
9	18	-0.157924
9	19	-0.0843905
9	20	0.557283
9	21	-0.0373608
9	22	0.0478491
9	23	-0.152125
9	24	0.181998
9	25	-0.568277
9	26	0.704569
9	27	0.637966
9	28	0.687176
9	29	1.00787
9	30	0.816802
9	31	-1.29766
9	32	0.81397
9	33	1.67873
9	34	1.09053
9	35	0.394993
9	36	0.778028
9	37	0.66939
10	1	0.45281
10	2	0.057506
10	3	0.0402599
10	4	0.056544
10	5	0.150989
10	6	0.154662
10	7	0.0895454
10	8	0.0495549
10	9	0.0025849
10	10	0.0110323
10	11	0.204331
10	12	0.0735552
10	13	0.127786
10	14	0.128561
10	15	-0.0581198
10	16	0.464142
10	17	0.328216
10	18	0.0072001
10	19	0.253216
10	20	0.256646
10	21	0.491368
10	22	0.146917
10	23	0.0970489
10	24	0.300963
10	25	0.606577
10	26	0.842725
10	27	0.635643
10	28	0.793708
10	29	-0.470749
10	30	0.825148
10	31	-0.658697
10	32	-0.833539
10	33	1.45409
10	34	1.8926
10	35	0.70343
10	36	0.836997
10	37	2.1625
11	1	0.666047
11	2	0.0668517
11	3	0.0854507
11	4	-0.259956
11	5	0.179126
11	6	0.130244
11	7	0.0684308
11	8	0.147077
11	9	0.114623
11	10	0.100893
11	11	0.121406
11	12	0.059738
11	13	0.223378
11	14	0.240304
11	15	0.313703
11	16	-0.157613
11	17	-0.365943
11	18	0.119823
11	19	0.384296
11	20	0.0895228
11	21	0.191233
11	22	0.212898
11	23	-0.0581611
11	24	0.358929
11	25	0.661166
11	26	-0.105315
11	27	0.15027
11	28	0.175703
11	29	0.826837
11	30	-0.177541
11	31	-1.54153
11	32	0.287728
11	33	0.983702
11	34	0.119811
11	35	-0.744209
11	36	-0.19214
11	37	0.730034
12	1	0.585478
12	2	0.0361001
12	3	0.0286639
12	4	0.152521
12	5	0.0954783
12	6	-0.00184507
12	7	0.0800107
12	8	0.0109876
12	9	0.0887848
12	10	0.135645
12	11	0.133731
12	12	0.0507267
12	13	0.450143
12	14	0.150097
12	15	-0.176292
12	16	0.279515
12	17	-0.19928
12	18	0.436671
12	19	0.390287
12	20	0.250792
12	21	0.226528
12	22	0.0338601
12	23	-0.556029
12	24	0.265122
12	25	0.376487
12	26	-0.499714
12	27	-0.769976
12	28	0.0428855
12	29	0.525042
12	30	-0.960871
12	31	0.111024
12	32	0.359234
12	33	0.233284
12	34	1.18524
12	35	-1.28358
12	36	0.0139859
12	37	0.511507
13	1	-0.330089
13	2	0.00347096
13	3	-0.0637355
13	4	0.306278
13	5	-0.105201
13	6	0.0471788
13	7	0.0289414
13	8	0.12242
13	9	0.0307434
13	10	0.20347
13	11	0.162567
13	12	-0.00525088
13	13	-0.17483
13	14	0.255261
13	15	-0.182438
13	16	-0.0748089
13	17	-0.378539
13	18	-0.26678
13	19	0.462569
13	20	0.0880637
13	21	0.011009
13	22	-0.426945
13	23	0.223179
13	24	0.504843
13	25	-0.330754
13	26	0.12347
13	27	-0.00557517
13	28	0.0656889
13	29	0.267786
13	30	0.502554
13	31	-0.722137
13	32	-0.676263
13	33	0.493425
13	34	0.818038
13	35	1.35439
13	36	0.0706686
13	37	0.748192
14	1	-0.0748533
14	2	-0.0774713
14	3	0.0640721
14	4	-0.19453
14	5	0.125209
14	6	0.0627955
14	7	0.0721422
14	8	0.0472647
14	9	0.044368
14	10	0.0949884
14	11	-0.0512707
14	12	-0.0128884
14	13	-0.0173289
14	14	0.0572256
14	15	0.113054
14	16	0.17306
14	17	-0.217693
14	18	0.261041
14	19	0.0871034
14	20	0.417331
14	21	0.399209
14	22	0.487356
14	23	0.523036
14	24	0.0808316
14	25	0.445382
14	26	-0.0138538
14	27	0.796371
14	28	-0.107579
14	29	0.267726
14	30	0.307762
14	31	0.563388
14	32	-1.61138
14	33	1.19237
14	34	-0.148433
14	35	0.217776
14	36	-0.26378
14	37	1.01379
15	1	-0.179719
15	2	0.00286701
15	3	0.0401789
15	4	-0.0819408
15	5	0.210854
15	6	-0.199853
15	7	0.0264246
15	8	0.214188
15	9	0.0769482
15	10	0.151974
15	11	0.120099
15	12	-0.0266464
15	13	-0.259547
15	14	-0.0290789
15	15	0.135543
15	16	-0.248781
15	17	0.0963029
15	18	0.439728
15	19	0.453082
15	20	0.207732
15	21	0.091225
15	22	0.128659
15	23	0.680765
15	24	0.522752
15	25	0.576017
15	26	0.30504
15	27	0.232584
15	28	-0.165276
15	29	-0.194329
15	30	0.525508
15	31	0.696798
15	32	-0.402842
15	33	0.00969955
15	34	1.64251
15	35	1.10138
15	36	-0.418456
15	37	-0.670936
16	1	0.0912487
16	2	0.0611202
16	3	0.056933
16	4	-0.120727
16	5	0.0869795
16	6	0.17199
16	7	0.00912916
16	8	0.214922
