##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461177_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1057657
Sequences flagged as poor quality	0
Sequence length	37
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.8609	40	40	40	40	40
2	39.292	40	40	40	40	40
3	39.3922	40	40	40	40	40
4	39.1532	40	40	40	40	40
5	39.1822	40	40	40	40	40
6	39.2048	40	40	40	40	40
7	39.3186	40	40	40	40	40
8	39.277	40	40	40	40	40
9	39.2776	40	40	40	40	40
10	38.9824	40	40	40	40	40
11	39.0339	40	40	40	40	40
12	39.0084	40	40	40	40	40
13	39.0156	40	40	40	40	40
14	38.8643	40	40	40	40	40
15	38.7629	40	40	40	40	40
16	38.631	40	40	40	40	40
17	38.536	40	40	40	40	40
18	38.3929	40	40	40	40	40
19	38.2339	40	40	40	40	40
20	38.049	40	40	40	40	40
21	37.9097	40	40	40	38	40
22	37.7808	40	40	40	35	40
23	37.5159	40	40	40	32	40
24	37.1473	40	40	40	28	40
25	36.7357	40	40	40	26	40
26	36.4956	40	40	40	24	40
27	36.3248	40	40	40	23	40
28	36.0499	40	40	40	22	40
29	35.4848	40	38	40	20	40
30	35.4026	40	37	40	20	40
31	34.694	40	34	40	17	40
32	34.3418	40	32	40	17	40
33	33.7925	40	30	40	15	40
34	33.4711	40	29	40	15	40
35	32.6001	40	27	40	13	40
36	31.9122	40	25	40	12	40
37	31.2486	40	23	40	11	40
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1	1	0.65703
1	2	0.213925
1	3	0.0725416
1	4	-0.120332
1	5	0.335884
1	6	0.0819337
1	7	0.107387
1	8	0.268647
1	9	-0.202837
1	10	0.568884
1	11	0.148779
1	12	-0.511878
1	13	0.392279
1	14	0.101255
1	15	-0.598495
1	16	0.00792208
1	17	-0.344627
1	18	-1.04991
1	19	0.100999
1	20	0.42755
1	21	0.523338
1	22	1.03162
1	23	0.706961
1	24	0.886362
1	25	1.00453
1	26	-0.0675515
1	27	0.361143
1	28	0.442879
1	29	1.02849
1	30	0.374807
1	31	0.595691
1	32	0.0578936
1	33	-1.21033
1	34	0.0331275
1	35	1.35366
1	36	0.887561
1	37	1.08708
2	1	0.0549897
2	2	-0.398242
2	3	-0.233989
2	4	0.114184
2	5	0.233745
2	6	0.00187604
2	7	-0.510141
2	8	-0.143627
2	9	-0.0592162
2	10	-0.389406
2	11	-0.189935
2	12	-0.0422185
2	13	-0.0478842
2	14	0.251094
2	15	-0.599737
2	16	-1.25794
2	17	0.214963
2	18	0.389821
2	19	-0.399861
2	20	-0.199237
2	21	-0.691204
2	22	-0.201746
2	23	-0.0558248
2	24	-0.31876
2	25	-17.7127
2	26	-18.8571
2	27	-1.73494
2	28	-2.28815
2	29	0.627094
2	30	-1.33762
2	31	-0.152326
2	32	-0.333801
2	33	0.649859
2	34	-0.216208
2	35	1.52123
2	36	1.95242
2	37	0.847312
3	1	-0.741993
3	2	0.0695004
3	3	0.175619
3	4	-0.198511
3	5	0.407835
3	6	0.0194272
3	7	0.258364
3	8	0.212217
3	9	0.262463
3	10	-0.277717
3	11	-0.325176
3	12	-0.21825
3	13	-0.398248
3	14	0.588693
3	15	-0.093771
3	16	-1.63574
3	17	-0.143552
3	18	0.810043
3	19	-0.513077
3	20	-1.28006
3	21	0.537516
3	22	-0.14167
3	23	-2.5389
3	24	-0.0783508
