##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.539	40	40	40	40	40
2	39.8471	40	40	40	40	40
3	39.8556	40	40	40	40	40
4	39.7032	40	40	40	40	40
5	39.7205	40	40	40	40	40
6	39.7918	40	40	40	40	40
7	39.8111	40	40	40	40	40
8	39.7732	40	40	40	40	40
9	39.8115	40	40	40	40	40
10	39.7861	40	40	40	40	40
11	39.8308	40	40	40	40	40
12	39.8537	40	40	40	40	40
13	39.5223	40	40	40	40	40
14	39.4401	40	40	40	40	40
15	39.3663	40	40	40	40	40
16	39.3002	40	40	40	40	40
17	39.1885	40	40	40	40	40
18	39.0715	40	40	40	40	40
19	38.8136	40	40	40	40	40
20	38.6489	40	40	40	40	40
21	38.5176	40	40	40	40	40
22	38.3422	40	40	40	40	40
23	37.8114	40	40	40	34	40
24	37.3759	40	40	40	30	40
25	36.7228	40	40	40	25	40
26	36.0532	40	40	40	21	40
27	35.8124	40	40	40	20	40
28	34.8333	40	38	40	15	40
29	34.8237	40	37	40	16	40
30	34.1481	40	33	40	14	40
31	33.5486	40	31	40	12	40
32	32.8554	40	28	40	11	40
33	32.2449	40	26	40	10	40
34	31.8646	40	25	40	10	40
35	30.9427	40	22	40	9	40
36	30.1824	40	20	40	8	40
37	29.2942	40	18	40	7	40
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1	1	0.335521
1	2	0.0713226
1	3	-0.0588904
1	4	0.122377
1	5	0.0305931
1	6	-0.00239803
1	7	0.0346834
1	8	0.020564
1	9	0.0869098
1	10	0.0275165
1	11	0.00642131
1	12	0.0905603
1	13	0.0964999
1	14	0.189374
1	15	-0.0569662
1	16	-0.102693
1	17	0.0972719
1	18	-0.0195066
1	19	0.151018
1	20	0.151574
1	21	0.194014
1	22	-0.0154599
1	23	0.0949744
1	24	0.371556
1	25	0.794315
1	26	1.37612
1	27	0.998446
1	28	2.17976
1	29	1.55699
1	30	2.16439
1	31	1.76855
1	32	1.60391
1	33	2.09019
1	34	2.54919
1	35	2.4041
1	36	3.12469
1	37	2.5833
2	1	0.270999
2	2	0.0333975
2	3	0.0439393
2	4	0.067611
2	5	0.170656
2	6	0.125433
2	7	0.0619707
2	8	0.129789
2	9	0.0746857
2	10	0.121912
2	11	0.100476
2	12	0.0739369
2	13	0.169844
2	14	0.091354
2	15	-0.0423971
2	16	0.021657
2	17	0.0911593
2	18	0.184687
2	19	0.244445
2	20	0.13564
2	21	-0.00574786
2	22	0.0817642
2	23	0.38285
2	24	0.599769
2	25	0.927577
2	26	1.57426
2	27	0.920162
2	28	2.11978
2	29	1.21245
2	30	2.01889
2	31	2.46377
2	32	2.1079
2	33	2.23768
2	34	2.24696
2	35	2.58753
2	36	2.8111
2	37	3.03327
3	1	-0.0176009
3	2	0.0384828
3	3	-0.0170954
3	4	0.0753737
3	5	0.0698896
3	6	0.0442009
3	7	0.0717842
3	8	0.03566
3	9	0.0206998
3	10	0.018065
3	11	0.0478134
3	12	0.0609182
3	13	0.0779022
3	14	0.216825
3	15	0.239975
3	16	0.221068
3	17	0.0477067
3	18	0.186905
3	19	0.277516
3	20	0.580228
3	21	0.149076
3	22	0.456336
3	23	0.708071
3	24	0.92941
3	25	1.18391
3	26	1.79875
3	27	1.65283
3	28	2.5903
3	29	2.33659
3	30	2.79885
3	31	2.69952
3	32	3.1009
3	33	3.58207
3	34	2.97107
3	35	3.59777
3	36	4.21432
3	37	3.9676
4	1	-0.0544379
4	2	0.00148347
4	3	0.0618772
4	4	0.181713
4	5	0.0390046
4	6	-0.0101239
4	7	0.0989374
4	8	0.034914
4	9	0.0882502
4	10	0.100136
4	11	0.0538028
4	12	0.0638193
4	13	0.109579
4	14	0.0708628
4	15	0.164494
4	16	0.369312
4	17	0.239594
4	18	0.213922
4	19	0.475288
4	20	0.371504
4	21	0.514005
4	22	0.500092
4	23	0.761375
4	24	0.996397
4	25	1.47031
4	26	2.02887
4	27	1.83576
4	28	2.86666
4	29	2.47857
4	30	2.68477
4	31	2.97868
4	32	3.11776
4	33	3.18641
4	34	4.07934
4	35	3.53897
4	36	4.42375
4	37	4.51535
5	1	0.0969469
5	2	0.0105307
5	3	0.0205444
5	4	0.148525
5	5	0.14228
5	6	0.0744776
5	7	0.040567
5	8	0.140583
5	9	0.0623586
5	10	0.14
5	11	0.00844515
5	12	0.111776
5	13	0.11556
5	14	-0.0659215
5	15	0.151068
5	16	0.0587228
5	17	0.254664
5	18	0.259151
5	19	0.402813
5	20	0.400722
5	21	0.278607
5	22	0.562741
5	23	0.624543
5	24	0.591073
5	25	1.10652
5	26	1.79098
5	27	2.11448
5	28	2.22566
5	29	2.19829
5	30	2.48282
5	31	2.09426
5	32	2.89457
5	33	2.64063
5	34	2.41541
5	35	3.28047
5	36	2.60997
5	37	3.73223
6	1	0.0446316
6	2	0.0455512
6	3	-0.0109755
6	4	0.0368481
6	5	0.0726558
6	6	0.0976493
6	7	0.0126885
6	8	0.031767
6	9	0.0573116
6	10	0.114873
6	11	0.135708
6	12	0.0748511
6	13	0.226204
6	14	0.0984749
6	15	0.162975
6	16	0.27178
6	17	0.02925
6	18	0.285646
6	19	0.308199
6	20	0.452851
6	21	0.586446
6	22	0.599884
6	23	1.04494
6	24	1.03
6	25	1.50594
6	26	1.926
6	27	1.70675
6	28	3.09749
6	29	2.57633
6	30	2.60846
6	31	2.26649
6	32	1.37613
6	33	3.08054
6	34	3.93949
6	35	3.73995
6	36	3.80558
6	37	3.90187
7	1	0.274499
7	2	0.072337
7	3	0.0691555
7	4	0.0879472
7	5	-0.0106092
7	6	0.056565
7	7	0.0817758
7	8	0.0157427
7	9	0.0911145
7	10	0.100352
7	11	-0.0280253
7	12	0.0635397
7	13	0.0704943
7	14	0.211482
7	15	0.241963
7	16	0.272835
7	17	0.394732
7	18	0.432567
7	19	0.262238
7	20	0.494905
7	21	-0.509764
7	22	0.36822
7	23	0.673342
7	24	0.151714
7	25	0.798131
7	26	1.84719
7	27	1.13276
7	28	1.83701
7	29	1.21784
7	30	2.41993
7	31	2.94058
7	32	2.46808
7	33	3.25788
7	34	2.85941
7	35	2.2842
