##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	37.2649	40	40	40	31	40
2	37.3343	40	40	40	34	40
3	36.8018	40	40	40	26	40
4	36.4508	40	40	40	22	40
5	36.2449	40	40	40	20	40
6	35.8767	40	40	40	17	40
7	36.6906	40	40	40	24	40
8	35.5151	40	40	40	14	40
9	35.1296	40	40	40	12	40
10	34.5874	40	40	40	11	40
11	34.9922	40	40	40	12	40
12	35.086	40	40	40	13	40
13	34.4279	40	40	40	10	40
14	34.1943	40	40	40	10	40
15	33.554	40	34	40	10	40
16	33.319	40	33	40	9	40
17	33.2179	40	32	40	9	40
18	32.2155	40	27	40	7	40
19	32.2834	40	26	40	8	40
20	31.0274	40	21	40	6	40
21	31.4859	40	23	40	7	40
22	31.2914	40	22	40	7	40
23	30.5096	40	20	40	6	40
24	29.6523	40	18	40	6	40
25	29.2416	40	17	40	6	40
26	28.4453	38	15	40	5	40
27	27.956	36	15	40	5	40
28	27.3135	34	14	40	5	40
29	26.6741	32	13	40	5	40
30	26.4289	31	13	40	5	40
31	25.5426	28	12	40	5	40
32	24.9827	27	11	40	4	40
33	24.2534	25	10	40	4	40
34	23.4969	24	10	40	4	40
35	23.1726	23	10	40	4	40
36	22.1615	21	9	40	4	40
37	21.8813	20	9	40	4	40
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1	1	1.83514
1	2	1.09455
1	3	1.61997
1	4	-16.1205
1	5	-12.6775
1	6	-9.81926
1	7	-12.8683
1	8	1.8573
1	9	1.95624
1	10	-13.9549
1	11	-9.16191
1	12	-6.14351
1	13	-8.7155
1	14	-8.48063
1	15	-7.76374
1	16	-7.36496
1	17	-6.36831
1	18	-6.66736
1	19	-5.88161
1	20	-1.59026
1	21	-5.99412
1	22	0.205842
1	23	-5.11012
1	24	-4.77733
1	25	-3.06399
1	26	-2.74255
1	27	-3.88652
1	28	-0.321848
1	29	2.05636
1	30	-2.40412
1	31	1.41926
1	32	-0.389497
1	33	0.435305
1	34	0.472256
1	35	0.0470079
1	36	1.07674
1	37	1.04095
2	1	1.92153
2	2	1.86425
2	3	2.60066
2	4	2.75912
2	5	3.15262
2	6	3.61141
2	7	2.64548
2	8	-10.3406
2	9	-11.5555
2	10	-14.3479
2	11	-7.79897
2	12	-7.8254
2	13	-10.8629
2	14	-10.0723
2	15	-8.55222
2	16	-8.50334
2	17	-6.97583
2	18	-6.78594
2	19	-5.24131
2	20	-4.19763
2	21	-5.18326
2	22	-4.37878
2	23	-1.65875
2	24	-0.922522
2	25	0.398995
2	26	-0.0901303
2	27	0.138736
2	28	0.722798
2	29	0.237632
2	30	1.80929
2	31	-0.484669
2	32	1.54934
2	33	1.33153
2	34	0.859429
2	35	1.63159
2	36	-1.50912
2	37	1.84839
3	1	1.61268
3	2	2.26278
3	3	2.90017
3	4	2.81664
3	5	3.21057
3	6	3.63025
3	7	2.81519
3	8	3.61322
3	9	3.71003
3	10	3.81932
3	11	2.30549
3	12	1.88965
3	13	1.99099
3	14	-4.28193
3	15	-2.66454
3	16	-4.3513
3	17	-1.53931
3	18	2.19623
3	19	-0.306648
3	20	0.995404
3	21	0.401191
3	22	0.623293
3	23	1.29733
3	24	1.14316
3	25	2.3164
3	26	2.2215
3	27	2.3678
3	28	2.85316
3	29	4.37716
3	30	3.08172
3	31	1.0021
3	32	1.45938
3	33	2.03938
3	34	1.70978
3	35	2.77495
3	36	2.04147
3	37	0.871224
4	1	1.54949
4	2	2.01246
