GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0026562	43868.5455480573	-2.38255375304746	0.083522523126607	-28.5258833648486	5.59510660657511e-179	4.84032672534813e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07674246605832	0.144657905723528	-28.1819541467015	9.73174434088646e-175	2.80631067643363e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.99542318408865	0.106239999059418	-28.1948720878033	6.75849187126261e-175	2.80631067643363e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.68038350346577	0.0992245312649161	27.0133148455951	1.03100952047336e-160	2.22981584040376e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11124928853028	0.0911704728084549	-23.1571606847528	1.2312672313332e-118	2.1303385636527e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.37069793823113	0.169769330545267	-19.8545751897889	1.00609693015651e-87	1.450624090464e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.41861841923028	0.121932427324476	-19.835727642771	1.46382930116694e-87	1.80908389777075e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31429990152415	0.131223751014245	-17.636288275839	1.29705950403183e-69	1.40260772117242e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.92757215646128	0.171225309802411	-17.097776957388	1.54173872825118e-65	1.48195352645566e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33699940164525	0.144138800737233	16.2135343827762	4.04614944229527e-59	3.50032388252964e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.17486621455924	0.137603340900635	-15.8053300183296	2.85889263651186e-56	2.24838910895129e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28372207624058	0.166853803528037	-13.6869644440371	1.21479115100901e-42	8.75763187281581e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
